Fritz Leopoldo,2020-3670,1st Year,Male,BSSTAT
,,,,
Eramie Coquilla,2019-1785,2nd Year,Female,BSSTAT
,,,,
Jo-ann Bahian,2018-0723,3rd Year,Female,BSSTAT
,,,,
Michael Tacbas,2020-0978,1st Year,Male,BSSTAT
,,,,
Justine Payusan,2019-2292,2nd Year,Female,BSSTAT
,,,,
Jurizza Velasquez,2019-7890,2nd Year,Female,BSMATH
,,,,
Belle Igot,2020-1908,1st Year,Female,BSBA
,,,,
Jed Isidto,2020-990,1st Year,Male,BSBA
,,,,
Amethyst Bihag,2019-2934,2nd Year,Female,BSSTAT
,,,,
Michael Gapol,2020-1908,1st Year,Male,BSA
,,,,
Eulyza Randa,2019-809,2nd  Year,Female,BSSTAT
,,,,
Denzelle Ramos,2019-1008,2nd Year,Male,BSBA
,,,,
Rowena Lacbain,2020-0080,1st Year,Female,BSA
,,,,
Ace Gungob,2019-3450,2nd Year,Male,BSBA
,,,,
Sioly Rosales,2020-0924,1st Year,Female,BSBA
,,,,
Richelle Bayson,2019-1076,2nd Year,Female,BSBA
,,,,
Lawrenzee Bayson,2020-0375,1st Year,Male ,BSMATH
,,,,
Jack Sanchez,2019-0139,2nd Year,Male,BSA
,,,,
Joanna Lim,2019-0013,2nd Year,Female,BSBIO
,,,,
Rey Fernandez,2019-0724,2nd Year,Male,BSA
,,,,
Nadine Lustre,2020-1826,1st Year,Female,BSMATH
,,,,
Joseph Sabado,2019-2614,2nd Year,Male ,BSSTAT
,,,,
Riza Manalili,2019-0848,2nd Year,Female,BSMATH
,,,,
Crystal Aranas,2020-2071,1st Year,Female,BSBA
,,,,
Karylle King,2019-0713,2nd Year,Female,BSBIO
,,,,
Jaime Cortado,2019-2103,2nd Year,Male,BSA
,,,,
Kent Chiu,2020-1902,1st Year,Male,BSA
,,,,
Kathry Bernardo,2019-0087,2nd Year,Female,BSSTAT
,,,,
Daniel Padilla,2020-2810,1st Year,Male,BSMATH
,,,,
James Reid,2019-0129,2nd Year,Male,BSSTAT
,,,,
Kim Boo,2020-0001,1st Year,Female,BSA
,,,,
Shelou Noval,2019-2213,2nd Year,Female,BSMATH
,,,,
Raize Lapinid,2020-1002,1st Year,Female,BSBA
,,,,
Armando Estrada,2019-0911,2nd Year,Male,BSBA
,,,,
Ramon Chua,2020-2100,1st Year,Male,BSBA
,,,,
Mary Racman,2019-2133,2nd Year,Female,BSBA
,,,,
Mece Mendez,2020-0813,1st Year,Female,BSBIO
,,,,
Christine Ebcay,2020-1111,1st Year,Female,BSBIO
,,,,
Kyle Rebutazo,2020-0012,1st Year,Male,BSSTAT
,,,,
Jezel Legas,2019-2999,2nd Year,Female,BSBA
,,,,
Pinky Balisi,2019-0821,2nd Year,Female,BSA
,,,,
Pearl Canoy,2020-1001,1st Year,Female,BSMATH
,,,,
Gerald Co,2019-2341,2nd Year,Male,BSBIO
,,,,
Bianca Umali,2020-0991,1st Year,Female,BSA
,,,,
Kale Romero,2019-1110,2nd Year,Male,BSMATH
,,,,
Anna Mae Dee,2020-2091,1st Year,Female,BSA
,,,,
Ian Lopez,2019-2810,2nd Year,Male,BSBA
,,,,
Jayel Dajao,2019-0415,2nd Year,Female,BSA
,,,,
Hyna Tomanor,2019-0007,2nd Year,Female,BSA
,,,,
Shaina Castro,2020-1902,1st Year,Female,BSBA
,,,,
Muzill Pepito,2019-0810,2nd Year,Male,BSMATH
